Name_of_App,Rating,Company,App_Detail_Web_Page_URL
DTR Diary - CBT & Mood Tracker,,Mdevapps,https://play.google.com/store/apps/details?id=com.marcoscosta.diariorpd
FreeCBT,"4.5
star",Evan Rosson,https://play.google.com/store/apps/details?id=org.erosson.freecbt
NeverMind - Mental Health CBT,,LovinJoy Games,https://play.google.com/store/apps/details?id=com.lvjgames.nevermind
Evolve: Self-Care & Meditation,"4.5
star",Evolve - Meditation made joyful,https://play.google.com/store/apps/details?id=in.evolve.android
CPT Coach,"4.4
star",US Department of Veterans Affairs (VA),https://play.google.com/store/apps/details?id=gov.va.mentalhealth.ncptsd.cptcoach3
CBTD,,ABTD - ASSOCIAÇÃO BRASILEIRA DE T&D,https://play.google.com/store/apps/details?id=br.com.idteventos.cbtd2024
BodBot AI Personal Trainer,"4.6
star",BodBot,https://play.google.com/store/apps/details?id=com.bodbot.trainer
Mood Tracker: Self-Care Habits,"4.8
star",Dairy App & Notes & Audio Editor & Voice Recorder,https://play.google.com/store/apps/details?id=moodtracker.selfcare.habittracker.mentalhealth
Micro Habits: Self-Improvement,"3.8
star",Infielight,https://play.google.com/store/apps/details?id=com.infielight.microhabits
Moodfit: Mental Health Fitness,"4.1
star",Roble Ridge Software LLC,https://play.google.com/store/apps/details?id=com.robleridge.Moodfit
Everest23 JAMB CBT App 2025,,Tech Anchor,https://play.google.com/store/apps/details?id=blogtech.techanchor.everest
CBT NMC RN 2025,,Saleh Owimer,https://play.google.com/store/apps/details?id=com.saleh.cbtnmc
Meditopia: Sleep & Meditation,"4.5
star",Meditopia,https://play.google.com/store/apps/details?id=app.meditasyon
Wysa: Mental Wellbeing AI,"4.6
star",Touchkin,https://play.google.com/store/apps/details?id=bot.touchkin
Quieting Anxiety: CBT Tools,"4.7
star",Excel At Life,https://play.google.com/store/apps/details?id=com.excelatlife.panic
Daywell - Self Care Routine,"4.5
star",Daywell Developer,https://play.google.com/store/apps/details?id=day.daywell.app
Mindspa,"3.9
star",Mindspa Health,https://play.google.com/store/apps/details?id=me.mindspa.app
